id,prefix_id,district_id,house,corpus,liter,villa,parcel,full_address,is_updated,is_actual,type,municipality_id,short_address,post_prefix,build_number
56343,11132,35,12,,А,,,"город Пушкин, Кедринская улица, дом 12",True,False,,107.0,"г.Пушкин, Кедринская ул., д. 12",,
595,6987,38,4Б,,,,,"поселок Ушково, Пляжевая улица, дом 4Б",True,False,,128.0,"пос. Ушково, Пляжевая ул., д. 4Б",,
7134,6469,15,30,2,Е,,,"г.Санкт-Петербург, проспект Маршала Жукова, дом 30, корпус 2, литера Е",True,False,Нежилое,30.0,"г.Санкт-Петербург, пр. Маршала Жукова, д. 30, к. 2, л. Е",198303,
124415,7838,38,5,2,А,,,"поселок Белоостров, Дюны, Центральная улица, дом 5, корпус 2",True,False,Нежилое,110.0,"пос. Белоостров, Дюны, Центральная ул., д. 5, к. 2",,
185368,4224,38,28,,Б,,,"поселок Песочный, Речная улица, дом 28, литера Б",True,False,,118.0,"пос. Песочный, Речная ул., д. 28, л. Б",,
2459,5280,7,49/18,,Д,,,"г.Санкт-Петербург, Большой проспект П.С., дом 49/18, литера Д",True,False,Нежилое,59.0,"г.Санкт-Петербург, Большой пр. П.С., д. 49/18, л. Д",197198,
112309,6033,38,15,,Б,,,"поселок Солнечное, Комсомольская улица, дом 15, литера Б",True,False,Жилое,124.0,"пос. Солнечное, Комсомольская ул., д. 15, л. Б",,
187158,6754,32,223-225,,П,,,"г.Санкт-Петербург, набережная Обводного канала, дом 223-225, литера П",False,False,,6.0,"г.Санкт-Петербург, наб. Обводного канала, д. 223-225, л. П",,
16759,9275,35,7,,А,,,"поселок Александровская, Беличья улица, дом 7",True,False,Жилое,109.0,"пос. Александровская, Беличья ул., д. 7",,
24236,5389,36,55,2,А,,,"поселок Парголово, Осиновая Роща, Вокзальное шоссе, дом 55, корпус 2",True,False,Нежилое,116.0,"пос. Парголово, Осиновая Роща, Вокзальное шоссе, д. 55, к. 2",,
106544,6443,11,64,,В,,,"г.Санкт-Петербург, Малоохтинский проспект, дом 64, литера В",True,False,,34.0,"г.Санкт-Петербург, Малоохтинский пр., д. 64, л. В",,
29402,6766,12,45,,Т,,,"г.Санкт-Петербург, проспект Обуховской Обороны, дом 45, литера Т",True,False,Нежилое,49.0,"г.Санкт-Петербург, пр. Обуховской Обороны, д. 45, л. Т",,
125743,6754,31,61,,А,,,"г.Санкт-Петербург, набережная Обводного канала, дом 61",True,False,,81.0,"г.Санкт-Петербург, наб. Обводного канала, д. 61",,
43714,5546,32,74,,Д,,,"г.Санкт-Петербург, набережная канала Грибоедова, дом 74, литера Д",True,False,,2.0,"г.Санкт-Петербург, наб. канала Грибоедова, д. 74, л. Д",,
